id,pubtime,title,des,content,img,url,time,address,type,gname,nwound,nkill,total
127,2017-10-29 16:59,索马里当局逮捕造成25人死亡的酒店袭击者,俄罗斯卫星通讯社莫斯科10月29日电 索马里信息部长奥斯曼表示，索马里当局逮捕摩加迪沙酒店袭击者，这次事件造成25人死亡。,俄罗斯卫星通讯社莫斯科10月29日电 索马里信息部长奥斯曼表示，索马里当局逮捕摩加迪沙酒店袭击者，这次事件造成25人死亡。,http://sputniknews.cn/images/102391/47/1023914747.jpg;http://sputniknews.cn/images/102391/42/1023914284.jpg,http://sputniknews.cn/military/201710291023914787/,,,None,unknown,0,0,"dead:0, hurt:0"
128,2017-11-01 23:15,媒体：孟加拉航空飞行员因涉嫌策划恐袭被捕,俄罗斯卫星通讯社莫斯科11月1日电 孟加拉国Bdnews24新闻网站援引警方消息报道，孟加拉航空公司一名飞行员因涉嫌策划恐怖袭击被警方逮捕。,俄罗斯卫星通讯社莫斯科11月1日电 孟加拉国Bdnews24新闻网站援引警方消息报道，孟加拉航空公司一名飞行员因涉嫌策划恐怖袭击被警方逮捕。,http://sputniknews.cn/images/102049/81/1020498140.jpg;http://sputniknews.cn/images/102350/09/1023500905.jpg,http://sputniknews.cn/society/201711011023948169/,,,None,unknown,0,0,"dead:0, hurt:0"
129,2017-08-21 18:09,媒体：西班牙恐袭嫌犯照片曝光,Colpisa通讯社曝光了恐怖分子与西班牙两起恐袭事件涉事车辆在一起的照片。,Colpisa通讯社曝光了恐怖分子与西班牙两起恐袭事件涉事车辆在一起的照片。,http://sputniknews.cn/images/102340/95/1023409535.jpg;http://sputniknews.cn/images/102340/95/1023409598.jpg,http://sputniknews.cn/society/201708211023411374/,,,None,unknown,0,0,"dead:0, hurt:0"
130,2018-03-06 20:48,俄联邦安全局：在马哈奇卡拉被扣IS支持者准备发动恐袭,俄罗斯卫星通讯社莫斯科3月6日电  俄罗斯联邦安全局社会关系中心发布消息表示，俄达吉斯坦共和国马哈奇卡拉市扣押的“伊斯兰国”恐怖组织支持者为在北高加索联邦区进行恐怖袭击制作大量炸弹和武器。,俄罗斯卫星通讯社莫斯科3月6日电  俄罗斯联邦安全局社会关系中心发布消息表示，俄达吉斯坦共和国马哈奇卡拉市扣押的“伊斯兰国”恐怖组织支持者为在北高加索联邦区进行恐怖袭击制作大量炸弹和武器。,http://sputniknews.cn/images/102485/66/1024856625.jpg;http://sputniknews.cn/images/102009/81/1020098140.jpg,http://sputniknews.cn/russia/201803061024856645/,,,None,unknown,0,0,"dead:0, hurt:0"
131,2017-08-18 20:40,第四名加泰罗尼亚恐袭事件嫌犯被拘留,俄罗斯卫星通讯社马德里8月18日电 加泰罗尼亚执法部门表示，他们扣押了第四名巴塞罗那和坎布里尔斯恐袭事件嫌疑犯。,俄罗斯卫星通讯社马德里8月18日电 加泰罗尼亚执法部门表示，他们扣押了第四名巴塞罗那和坎布里尔斯恐袭事件嫌疑犯。,http://sputniknews.cn/images/102339/51/1023395104.jpg;http://sputniknews.cn/images/102339/60/1023396066.jpg,http://sputniknews.cn/politics/201708181023396326/,,,None,unknown,0,0,"dead:0, hurt:0"
132,2017-11-24 22:56,埃及清真寺爆炸造成逾200人死亡,"据媒体报道，埃及清真寺恐袭中的死者人数上升至235人，另有130人受伤, 其中不少人是儿童。","据媒体报道，埃及清真寺恐袭中的死者人数上升至235人，另有130人受伤, 其中不少人是儿童。",http://sputniknews.cn/images/102412/94/1024129406.jpg;http://sputniknews.cn/images/102412/92/1024129299.jpg,http://sputniknews.cn/society/201711241024129208/,,,None,unknown,0,0,"dead:0, hurt:0"
133,2017-08-16 12:21,美司法部：一名通过eBay获取“伊斯兰国”资金的美国公民认罪,俄罗斯卫星通讯社莫斯科8月16日电 美国司法部网站消息称，8月15日，一名被指控利用在eBay网上虚假交易从恐怖组织“伊斯兰国”获取资金的美国公民在法院认罪。,俄罗斯卫星通讯社莫斯科8月16日电 美国司法部网站消息称，8月15日，一名被指控利用在eBay网上虚假交易从恐怖组织“伊斯兰国”获取资金的美国公民在法院认罪。,http://sputniknews.cn/images/102055/02/1020550233.jpg;http://sputniknews.cn/images/101843/60/1018436023.jpg,http://sputniknews.cn/society/201708161023372433/,,,None,unknown,0,0,"dead:0, hurt:0"
134,2017-11-05 14:14,俄驻美大使：俄美强力人员的沟通问题将是双方部长级会晤的议题,俄罗斯卫星通讯社芝加哥11月5日 俄罗斯驻美大使阿纳托利·安东诺夫在对媒体表示，俄美强力机构和国防部门需要更加紧密地协作，以便提高打击恐怖主义的效率，与美国部长们即将举行的会议上将提出这一问题。,俄罗斯卫星通讯社芝加哥11月5日 俄罗斯驻美大使阿纳托利·安东诺夫在对媒体表示，俄美强力机构和国防部门需要更加紧密地协作，以便提高打击恐怖主义的效率，与美国部长们即将举行的会议上将提出这一问题。,http://sputniknews.cn/images/102397/52/1023975262.jpg;http://sputniknews.cn/images/102341/36/1023413603.jpg,http://sputniknews.cn/russia/201711051023975230/,,,None,unknown,0,0,"dead:0, hurt:0"
135,2018-01-25 23:54,土耳其外长：土军无意袭击叙政府军,俄罗斯卫星通讯社安卡拉1月25日电 土耳其外长恰武什奥卢25日表示，维护叙利亚领土完整是安卡拉和大马士革的共同目标，土耳其军队无意袭击叙政府军。,俄罗斯卫星通讯社安卡拉1月25日电 土耳其外长恰武什奥卢25日表示，维护叙利亚领土完整是安卡拉和大马士革的共同目标，土耳其军队无意袭击叙政府军。,http://sputniknews.cn/images/102455/45/1024554585.jpg;http://sputniknews.cn/images/102051/64/1020516410.jpg,http://sputniknews.cn/politics/201801251024564036/,,,None,unknown,0,0,"dead:0, hurt:0"
136,2017-07-23 13:18,美国称叙政府4月以来未使用化学武器,俄罗斯卫星通讯社华盛顿7月23日电 美国参谋长联席会议主席邓福德表示，自从美国4月对叙利亚空军基地实施打击后，叙政府没有使用化学武器。,俄罗斯卫星通讯社华盛顿7月23日电 美国参谋长联席会议主席邓福德表示，自从美国4月对叙利亚空军基地实施打击后，叙政府没有使用化学武器。,http://sputniknews.cn/images/102318/35/1023183548.jpg;http://sputniknews.cn/images/101803/53/1018035317.jpg,http://sputniknews.cn/politics/201707231023183492/,,,None,unknown,0,0,"dead:0, hurt:0"
137,2017-09-28 22:27,联合国尚无查明叙哈马和伊德利卜空袭制造者的身份,俄罗斯卫星通讯社日内瓦9月28日电 联合国叙利亚问题特使的特别顾问扬·埃格兰向记者表示，联合国尚未接到有关叙哈马和伊德利卜地区轰炸袭击制造者身份的消息。,俄罗斯卫星通讯社日内瓦9月28日电 联合国叙利亚问题特使的特别顾问扬·埃格兰向记者表示，联合国尚未接到有关叙哈马和伊德利卜地区轰炸袭击制造者身份的消息。,http://sputniknews.cn/images/101732/85/1017328513.jpg;http://sputniknews.cn/images/102369/90/1023699019.jpg,http://sputniknews.cn/military/201709281023699895/,,,None,unknown,0,0,"dead:0, hurt:0"
138,2017-12-28 18:52,俄总统新闻秘书：克宫不认为圣彼得堡超市爆炸案是特工部门工作疏忽所致,俄罗斯卫星通讯社莫斯科12月28日电 俄罗斯总统新闻秘书佩斯科夫表示，克宫不认为12月27日圣彼得堡超市爆炸案是特工部门工作疏忽所致。,俄罗斯卫星通讯社莫斯科12月28日电 俄罗斯总统新闻秘书佩斯科夫表示，克宫不认为12月27日圣彼得堡超市爆炸案是特工部门工作疏忽所致。,http://sputniknews.cn/images/102437/81/1024378124.jpg;http://sputniknews.cn/images/102437/52/1024375240.jpg,http://sputniknews.cn/russia/201712281024379990/,,,None,unknown,0,0,"dead:0, hurt:0"
139,2018-03-02 20:19,法国外交部特使：布基纳法索首都发生恐怖袭击,俄罗斯卫星通讯社巴黎3月2日电 法国外交部萨赫勒问题特使让-马克∙夏德尼耶发推文表示，布基纳法索首都瓦加杜古2日发生恐怖袭击。,俄罗斯卫星通讯社巴黎3月2日电 法国外交部萨赫勒问题特使让-马克∙夏德尼耶发推文表示，布基纳法索首都瓦加杜古2日发生恐怖袭击。,http://sputniknews.cn/images/102483/25/1024832505.jpg;http://sputniknews.cn/images/102335/39/1023353991.jpg,http://sputniknews.cn/society/201803021024832547/,,,,unknown,0,0,"dead:0, hurt:0"
